filename,width,height,class,xmin,ymin,xmax,ymax
73_jpeg.rf.0c0a42de58a6eb3d4a83f9fd85171ab8.jpg,640,640,puding,243,34,420,295
73_jpeg.rf.0c0a42de58a6eb3d4a83f9fd85171ab8.jpg,640,640,puding,238,324,426,602
73_jpeg.rf.0c0a42de58a6eb3d4a83f9fd85171ab8.jpg,640,640,puding,446,302,630,624
73_jpeg.rf.0c0a42de58a6eb3d4a83f9fd85171ab8.jpg,640,640,puding,436,22,601,283
73_jpeg.rf.0c0a42de58a6eb3d4a83f9fd85171ab8.jpg,640,640,puding,70,23,234,281
73_jpeg.rf.0c0a42de58a6eb3d4a83f9fd85171ab8.jpg,640,640,puding,18,307,217,617
kentang-goreng_068_jpg.rf.0bf059c7e97828c6ee3dc4b3c5322632.jpg,640,640,kentang goreng,69,100,566,535
bakso_055_jpg.rf.0c1f834c994c59c82e1a87a9e7710298.jpg,640,640,bakso,89,277,501,516
12_jpeg.rf.0c5a286d0339ab0d047515446bd63504.jpg,640,640,capcay,43,128,631,550
images418_jpg.rf.0c130671d40c86b13978643a0f12be92.jpg,640,640,nasi,195,165,453,496
sate-20315_jpg.rf.0c352cf9252b4d481a972944ddcd208e.jpg,640,640,sate,1,94,559,482
OIP-32-_jpeg.rf.0bb685fdd55377e624c2a432b93ded09.jpg,640,640,telur dadar,181,64,539,260
OIP-32-_jpeg.rf.0bb685fdd55377e624c2a432b93ded09.jpg,640,640,telur dadar,41,125,366,360
OIP-32-_jpeg.rf.0bb685fdd55377e624c2a432b93ded09.jpg,640,640,telur dadar,230,254,607,640
images-2024-08-05T203519-332_jpeg.rf.0d09b00cb346a70b7821f7330931c57d.jpg,640,640,sop,173,35,583,632
images472_jpg.rf.0c842d4963c3e08a69d2ab4c8c322083.jpg,640,640,nasi,205,155,640,626
ceplok_15_jpg.rf.0bb5bdaf6285ab1b2002d34e67989f82.jpg,640,640,telur ceplok,200,119,531,420
ceplok_15_jpg.rf.0bb5bdaf6285ab1b2002d34e67989f82.jpg,640,640,telur ceplok,51,294,421,640
98_jpeg.rf.0c134ec6e18b7366d9058d99d068550b.jpg,640,640,roti tawar,293,114,595,431
98_jpeg.rf.0c134ec6e18b7366d9058d99d068550b.jpg,640,640,roti tawar,149,306,451,484
98_jpeg.rf.0c134ec6e18b7366d9058d99d068550b.jpg,640,640,roti tawar,76,361,406,566
telur-ceplok_039_jpg.rf.0c3e79d5da310e68f0c5938cc9b641af.jpg,640,640,telur ceplok,260,218,640,553
rendang_24_jpg.rf.0c2d2d6b3d62b3361e28ec25d7223a8c.jpg,640,640,rendang,287,242,395,349
rendang_24_jpg.rf.0c2d2d6b3d62b3361e28ec25d7223a8c.jpg,640,640,rendang,378,191,528,282
rendang_24_jpg.rf.0c2d2d6b3d62b3361e28ec25d7223a8c.jpg,640,640,rendang,392,258,535,344
rendang_030_jpg.rf.0c0f44763a5fd8ff654437c04e55df21.jpg,640,640,rendang,61,14,554,545
bakso-20337_jpg.rf.0cdf314d186f2c50140583e1f567a0b4.jpg,640,640,bakso,24,174,501,528
